Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Tumut St, Adelong",RU5,809.4 m²,"$48,200","$48,200",0.0%
"Tumut St, Adelong",RU5,1011.7 m²,"$52,500","$52,500",0.0%
"Alta Villa Rd, Batlow",R5,5.78 ha,"$161,000","$161,000",0.0%
"Ash St, Batlow",R3,689.2 m²,"$48,000","$48,000",0.0%
"Selwyn St, Batlow",MU1,1277 m²,"$30,600","$30,600",0.0%
"Min-Eve Dr, Brungle",RU5,4047 m²,"$42,400","$42,400",0.0%
"River Rd, Jingellic",RU5,2023 m²,"$38,700","$38,700",0.0%
"Bradney St, Khancoban",RU5,765.1 m²,"$79,600","$79,600",0.0%
"Lacmalac Rd, Lacmalac",R5,2.004 ha,"$325,000","$325,000",0.0%
"Carabost St, Rosewood",RU5,2428 m²,"$23,000","$23,000",0.0%
"Elizabeth Ave, Talbingo",R5,2.104 ha,"$253,000","$253,000",0.0%
"Pether St, Talbingo",RU5,695.6 m²,"$165,000","$165,000",0.0%
"Bogong St, Tumbarumba",R5,1.037 ha,"$274,000","$274,000",0.0%
"Clara St, Tumbarumba",R1,1011 m²,"$93,500","$93,500",0.0%
"Murray St, Tumbarumba",R3,1012 m²,"$80,000","$80,000",0.0%
"Carey St, Tumut",R3,1226 m²,"$126,000","$126,000",0.0%
"Hudson St, Tumut",R2,590 m²,"$69,200","$69,200",0.0%
"Lambie St, Tumut",R2,1468 m²,"$127,000","$127,000",0.0%
"Lockeridge Dr, Tumut",R2,824.4 m²,"$173,000","$173,000",0.0%
"Sydney St, Tumut",R2,670.3 m²,"$101,000","$101,000",0.0%
"Sydney St, Tumut",R3,1957 m²,"$119,000","$119,000",0.0%
"Tumut Plains Rd, Tumut",R5,6551 m²,"$218,000","$218,000",0.0%
