Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Patricia St, Belfield",R2,527.42 m²,"$1,130,000","$1,400,000",23.9%
"Water St, Belfield",R3,404.7 m²,"$1,100,000","$1,280,000",16.4%
"Sylvanus St, Greenacre",R2,652.6 m²,"$950,000","$1,180,000",24.2%
"Wentworth St, Greenacre",R2,3557 m²,"$4,000,000","$4,700,000",17.5%
"Hillcrest St, Homebush",R4,441.32 m²,"$1,850,000","$1,850,000",0.0%
"Loftus Cres, Homebush",R4,1547 m²,"$5,900,000","$5,900,000",0.0%
"Parramatta Rd, Homebush",MU1,2041.2 m²,"$9,490,000","$10,000,000",5.4%
"Pomeroy St, Homebush",R3,551.4 m²,"$1,450,000","$1,750,000",20.7%
"Rochester St, Homebush",MU1,246.6 m²,"$1,790,000","$1,920,000",7.3%
"Smallwood Ave, Homebush",MU1,480.6 m²,"$1,500,000","$1,640,000",9.3%
"The Crescent , Homebush",R3,1090.2 m²,"$3,350,000","$4,000,000",19.4%
"Henley Rd, Homebush West",MU1,1756.1 m²,"$13,300,000","$14,000,000",5.3%
"Tavistock Rd, Homebush West",R3,381 m²,"$1,400,000","$1,620,000",15.7%
"Albert Rd, Strathfield",R3,335.1 m²,"$1,750,000","$1,920,000",9.7%
"Albert Rd, Strathfield",R2,891.31 m²,"$3,000,000","$3,650,000",21.7%
"Albyn Rd, Strathfield",R2,775.72 m²,"$3,400,000","$3,900,000",14.7%
"Eve St, Strathfield",R3,309.8 m²,"$1,300,000","$1,600,000",23.1%
"Hedges Ave, Strathfield",R2,556.4 m²,"$1,650,000","$2,120,000",28.5%
"Liverpool Rd, Strathfield",R3,1891 m²,"$3,800,000","$4,550,000",19.7%
"Myee Ave, Strathfield",R2,766.42 m²,"$2,600,000","$3,050,000",17.3%
"Pemberton St, Strathfield",R2,695.6 m²,"$2,200,000","$2,650,000",20.5%
"Barton St, Strathfield South",R2,445.91 m²,"$1,320,000","$1,600,000",21.2%
