Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Coachwood Cres, Alfords Point",C4,670.5 m²,"$1,040,000","$1,100,000",5.8%
"Yanderra Ave, Bangor",C4,558.2 m²,"$845,000","$899,000",6.4%
"Barden Rd, Barden Ridge",C4,7212 m²,"$1,590,000","$1,690,000",6.3%
"David Rd, Barden Ridge",C4,624.9 m²,"$850,000","$879,000",3.4%
"Namatjira St, Barden Ridge",C4,583.9 m²,"$1,070,000","$1,170,000",9.4%
"Beachcomber Ave, Bundeena",C4,607 m²,"$775,000","$850,000",9.7%
"Shell Rd, Burraneer",C4,809.4 m²,"$2,190,000","$2,500,000",14.2%
"Bellevue Pde, Caringbah",R2,627.28 m²,"$1,180,000","$1,320,000",11.9%
"Denman Ave, Caringbah",R4,682.9 m²,"$1,750,000","$1,910,000",9.1%
"High St, Caringbah",R3,1223 m²,"$4,790,000","$5,100,000",6.5%
"Epacris Ave, Caringbah South",R2,1136 m²,"$2,710,000","$2,950,000",8.9%
"Grandview Pde, Caringbah South",C4,953.2 m²,"$3,840,000","$4,220,000",9.9%
"Holly St, Caringbah South",R2,600.7 m²,"$1,390,000","$1,550,000",11.5%
"Saunders Bay Rd, Caringbah South",C4,828.3 m²,"$1,510,000","$1,620,000",7.3%
"Taren Rd, Caringbah South",C4,638.6 m²,"$1,400,000","$1,490,000",6.4%
"Girraween Ave, Como",R2,575.4 m²,"$1,100,000","$1,200,000",9.1%
"Cook St, Cronulla",R2,560.83 m²,"$1,850,000","$1,970,000",6.5%
"Elouera Rd, Cronulla",R4,1196.5 m²,"$6,000,000","$6,490,000",8.2%
"Grosvenor Cres, Cronulla",R2,1373.9 m²,"$5,760,000","$6,320,000",9.7%
"Harbour St, Cronulla",R2,575.4 m²,"$2,480,000","$2,650,000",6.9%
"Hume Rd, Cronulla",R3,539.48 m²,"$2,370,000","$2,550,000",7.6%
"Nicholson Pde, Cronulla",C4,872.6 m²,"$3,090,000","$3,090,000",0.0%
"Searl Rd, Cronulla",R3,1213.9 m²,"$4,100,000","$4,500,000",9.8%
"Cooriengah Heights Rd, Engadine",C4,556.4 m²,"$744,000","$799,000",7.4%
"Naranga Ave, Engadine",R2,562.8 m²,"$785,000","$850,000",8.3%
