Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Botany Rd, Alexandria",MU1,140.8 m²,"$885,000","$985,000",11.3%
"Buckland St, Alexandria",R1,122.5 m²,"$1,000,000","$1,180,000",18.0%
"Copeland St, Alexandria",MU1,145.4 m²,"$1,220,000","$1,300,000",6.6%
"Mitchell Rd, Alexandria",MU1,1332 m²,"$5,900,000","$7,450,000",26.3%
"Hickson Rd, Barangaroo",B4,1968 m²,"$19,500,000","$20,400,000",4.6%
"Victoria St, Beaconsfield",R1,693.3 m²,"$5,350,000","$6,650,000",24.3%
"Alexandra Dr, Camperdown",R1,3783 m²,"$20,000,000","$22,000,000",10.0%
"Layton St, Camperdown",MU1,240.3 m²,"$1,860,000","$1,930,000",3.8%
"Cook Rd, Centennial Park",R1,743.6 m²,"$7,400,000","$7,750,000",4.7%
"Furber Rd, Centennial Park",R1,347.8 m²,"$3,000,000","$3,250,000",8.3%
"Lang Rd, Centennial Park",R2,834.7 m²,"$10,300,000","$10,500,000",1.9%
"Meagher St, Chippendale",MU1,82.2 m²,"$990,000","$1,050,000",6.1%
"Rose St, Chippendale",R1,120.2 m²,"$1,030,000","$1,220,000",18.5%
"Burton St, Darlinghurst",MU1,179.4 m²,"$1,700,000","$1,900,000",11.8%
"Caldwell St, Darlinghurst",R1,107.12 m²,"$1,480,000","$1,600,000",8.1%
"William St, Darlinghurst",MU1,316.2 m²,"$4,300,000","$4,500,000",4.7%
"Abercrombie St, Darlington",MU1,110.6 m²,"$925,000","$1,060,000",14.6%
"Abercrombie St, Darlington",R1,557.4 m²,"$4,000,000","$4,500,000",12.5%
"Edward St, Darlington",R1,120.2 m²,"$1,000,000","$1,100,000",10.0%
"Metters St, Erskineville",MU1,132.5 m²,"$980,000","$1,000,000",2.0%
"Explorer St, Eveleigh",R3,,"$900,000","$1,030,000",14.4%
"Wilson St, Eveleigh",B4,250 m²,"$475,000","$500,000",5.3%
"Wigram Rd, Forest Lodge",R1,141.73 m²,"$1,150,000","$1,320,000",14.8%
"Wigram Rd, Forest Lodge",MU1,3826 m²,"$30,000,000","$31,500,000",5.0%
"Bridge Rd, Glebe",MU1,353 m²,"$5,250,000","$5,500,000",4.8%
