Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Kimo St, Attunga",RU5,766.5 m²,"$94,800","$109,000",15.0%
"Edward St, Barraba",RU5,1088 m²,"$25,000","$30,000",20.0%
"Queen St, Barraba",RU5,701.9 m²,"$25,000","$30,000",20.0%
"Myrene Ave, Calala",R2,1619 m²,"$225,000","$240,000",6.7%
"Peregrine Ave, Calala",R1,771.4 m²,"$175,000","$180,000",2.9%
"Urangera Dr, Daruka",R5,1.824 ha,"$354,000","$380,000",7.3%
"Gladys St, East Tamworth",R1,663.9 m²,"$120,000","$125,000",4.2%
"Rawson Ave, East Tamworth",R1,992.7 m²,"$290,000","$319,000",10.0%
"Roy St, Hallsville",R2,26.12 ha,"$1,190,000","$1,190,000",0.0%
"Gabriella Way, Hillvue",R1,720 m²,"$210,000","$224,000",6.7%
"Yarraga Pl, Hillvue",R1,800.1 m²,"$175,000","$175,000",0.0%
"Pages Lane, Kingswood",R5,4760 m²,"$275,000","$350,000",27.3%
"Chelmsford St, Kootingal",R1,800 m²,"$126,000","$130,000",3.2%
"Gate St, Kootingal",MU1,1026 m²,"$110,000","$115,000",4.6%
"Kanangra Rd, Manilla",R1,752.3 m²,"$90,000","$90,000",0.0%
"Market St, Manilla",MU1,349.5 m²,"$50,000","$53,000",6.0%
"Mckeon Ave, Manilla",R5,1.206 ha,"$125,000","$205,000",64.0%
"George St, Moonbi",RU5,2023.4 m²,"$120,000","$150,000",25.0%
"Whiporie Cl, Moore Creek",R2,4000 m²,"$300,000","$315,000",5.0%
"North St, North Tamworth",R1,771.4 m²,"$210,000","$220,000",4.8%
"Shiraz Rd, North Tamworth",R1,741 m²,"$205,000","$210,000",2.4%
"Charles St, Nundle",R5,1.533 ha,"$145,000","$185,000",27.6%
"Glengarvin Dr, Oxley Vale",R1,899.9 m²,"$135,000","$145,000",7.4%
"Edward St, South Tamworth",R1,550.1 m²,"$140,000","$145,000",3.6%
"Hilton St, South Tamworth",MU1,1615 m²,"$214,000","$265,000",23.8%
"Marius St, Tamworth",MU1,885.2 m²,"$375,000","$450,000",20.0%
"New England Hwy, Tintinhull",R5,56.75 ha,"$993,000","$1,050,000",5.7%
"Bridge St, West Tamworth",MU1,474.3 m²,"$199,000","$273,000",37.2%
"Hercules St, West Tamworth",R1,674.5 m²,"$193,000","$200,000",3.6%
"Sussex St, West Tamworth",R1,613.2 m²,"$100,000","$104,000",4.0%
"Blaxland Way, Westdale",R1,1.499 ha,"$736,000","$1,020,000",38.6%
