Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Allison St, Drake",RU5,1625 m²,"$33,900","$74,700",120.4%
"Manor St, Jennings",RU5,2023 m²,"$52,000","$54,600",5.0%
"Mount Lindesay Rd, Legume",RU5,2023 m²,"$42,000","$84,000",100.0%
"Stanthorpe St, Liston",RU5,2023 m²,"$45,000","$81,000",80.0%
"Douglas St, Tenterfield",RU5,1902 m²,"$100,000","$100,000",0.0%
"Parkes Dr, Tenterfield",RU5,1808 m²,"$110,000","$140,000",27.3%
"Petre St, Tenterfield",RU5,1.129 ha,"$203,000","$190,000",-6.4%
"Rouse St, Tenterfield",RU5,373 m²,"$65,000","$65,000",0.0%
"Silent Grove Rd, Torrington",RU5,2970 m²,"$42,000","$63,000",50.0%
"Forest Ave, Urbenville",RU5,1164 m²,"$89,000","$80,100",-10.0%
