Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Carole Ave, Baulkham Hills",R2,703.26 m²,"$970,000","$1,080,000",11.3%
"Cole Ave, Baulkham Hills",R2,700 m²,"$1,000,000","$1,050,000",5.0%
"Meryll Ave, Baulkham Hills",R4,3683 m²,"$7,420,000","$7,700,000",3.8%
"Moona Ave, Baulkham Hills",R2,697 m²,"$1,000,000","$1,100,000",10.0%
"Mullane Ave, Baulkham Hills",R2,695.6 m²,"$970,000","$1,070,000",10.3%
"Oakland Ave, Baulkham Hills",R3,696.77 m²,"$1,100,000","$1,240,000",12.7%
"Seven Hills Rd, Baulkham Hills",R2,5381 m²,"$4,090,000","$4,500,000",10.0%
"Armine Way, Beaumont Hills",R2,581.2 m²,"$930,000","$1,000,000",7.5%
"Fernleaf Cres, Beaumont Hills",R3,466.2 m²,"$780,000","$820,000",5.1%
"Bimbadgen Pl, Bella Vista",R2,701 m²,"$2,200,000","$2,250,000",2.3%
"Huon Pl, Bella Vista",R2,700 m²,"$1,150,000","$1,250,000",8.7%
"Linden Way, Bella Vista",R3,296.5 m²,"$970,000","$1,050,000",8.3%
"Avior St, Box Hill",R2,312.7 m²,"$750,000","$750,000",0.0%
"Celestial St, Box Hill",R3,320.4 m²,"$600,000","$700,000",16.7%
"Flemington Pkwy, Box Hill",R2,318.6 m²,"$650,000","$720,000",10.8%
"Galileo St, Box Hill",R4,127.8 m²,"$420,000","$420,000",0.0%
"Hynds Rd, Box Hill",R3,1.012 ha,"$6,000,000","$6,000,000",0.0%
"Kuiper St, Box Hill",R2,2714 m²,"$2,200,000","$2,210,000",0.5%
"Mason Rd, Box Hill",R4,2170 m²,"$3,000,000","$3,000,000",0.0%
"Brentwood Way, Castle Hill",C4,2087 m²,"$1,710,000","$1,950,000",14.0%
"Cambewarra Ave, Castle Hill",R2,695.6 m²,"$1,200,000","$1,300,000",8.3%
"Carramarr Rd, Castle Hill",R2,695.6 m²,"$1,250,000","$1,350,000",8.0%
"Fishburn Cres, Castle Hill",R3,750 m²,"$1,250,000","$1,450,000",16.0%
"Old Northern Rd, Castle Hill",MU1,354.1 m²,"$2,000,000","$2,080,000",4.0%
"Old Northern Rd, Castle Hill",R1,1051.2 m²,"$2,300,000","$2,300,000",0.0%
"Purser Ave, Castle Hill",R3,2603 m²,"$4,890,000","$4,830,000",-1.2%
"Jaffa Rd, Dural",R2,695.6 m²,"$1,100,000","$1,180,000",7.3%
"Old Northern Rd, Dural",RU5,2025 m²,"$1,610,000","$1,640,000",1.9%
"Forelle St, Gables",R3,450.3 m²,"$850,000","$950,000",11.8%
"Gilbert Rd, Glenhaven",R2,906.9 m²,"$1,350,000","$1,400,000",3.7%
"Greenwood Rd, Kellyville",R2,696.8 m²,"$900,000","$1,000,000",11.1%
"President Rd, Kellyville",R3,2912 m²,"$3,380,000","$3,650,000",8.0%
"Rosebery Rd, Kellyville",R2,650 m²,"$980,000","$1,050,000",7.1%
"Seymour Way, Kellyville",R3,519.2 m²,"$800,000","$880,000",10.0%
"Water Creek Bvd, Kellyville",R2,702.5 m²,"$1,500,000","$1,500,000",0.0%
"Withers Rd, Kellyville",R3,2.023 ha,"$8,000,000","$8,100,000",1.3%
"Lyrebird Ct, Kenthurst",C4,3927 m²,"$1,900,000","$2,080,000",9.5%
"Applegum Cres, North Kellyville",R4,958.8 m²,"$1,280,000","$1,280,000",0.0%
"Daytona Rd, North Kellyville",R2,360.4 m²,"$912,000","$930,000",2.0%
"Hezlett Rd, North Kellyville",R1,314.8 m²,"$600,000","$600,000",0.0%
"Kendall Pl, North Kellyville",R2,4452.08 m²,"$3,600,000","$3,960,000",10.0%
"Kinglake St, North Kellyville",R2,477.8 m²,"$965,000","$1,000,000",3.6%
"Myles Cres, North Kellyville",C4,620 m²,"$1,040,000","$1,180,000",13.5%
"Alderson Ave, North Rocks",R2,776.5 m²,"$1,050,000","$1,130,000",7.6%
"Rosetta Cres, Norwest",R2,6358 m²,"$2,750,000","$2,800,000",1.8%
"Caddies Bvd, Rouse Hill",MU1,3131 m²,"$4,800,000","$5,280,000",10.0%
"Milford Dr, Rouse Hill",R2,617.2 m²,"$850,000","$900,000",5.9%
"Redbush Cl, Rouse Hill",R3,482 m²,"$780,000","$820,000",5.1%
"Anne William Dr, West Pennant Hills",R2,917.2 m²,"$1,600,000","$1,700,000",6.3%
