Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Advocate Pl, Banora Point",R3,329.1 m²,"$340,000","$340,000",0.0%
"Amaroo Dr, Banora Point",R3,2 ha,"$3,500,000","$3,400,000",-2.9%
"Avondale Dr, Banora Point",R2,624.2 m²,"$478,000","$540,000",13.0%
"Biby Pl, Banora Point",R2,688.3 m²,"$435,000","$470,000",8.1%
"Fraser Dr, Banora Point",R2,1.877 ha,"$2,250,000","$2,100,000",-6.7%
"Grassmere Ct, Banora Point",R2,647.8 m²,"$470,000","$515,000",9.6%
"Greenway Dr, Banora Point",R2,5525 m²,"$2,390,000","$2,390,000",0.0%
"Laura St, Banora Point",R2,638.6 m²,"$460,000","$460,000",0.0%
"Monterey Ave, Banora Point",R1,9483 m²,"$2,750,000","$2,750,000",0.0%
"Westwood St, Banora Point",A,1.439 ha,"$129,000","$135,000",4.7%
"Urliup Rd, Bilambil",RU5,4051 m²,"$439,000","$450,000",2.5%
"Bolwarra Pl, Bilambil Heights",A,11.72 ha,"$1,100,000","$1,250,000",13.6%
"Marana St, Bilambil Heights",R2,663.9 m²,"$430,000","$430,000",0.0%
"Marana St, Bilambil Heights",R1,4.742 ha,"$2,000,000","$1,850,000",-7.5%
"Hastings Rd, Bogangar",R3,613.4 m²,"$1,230,000","$1,230,000",0.0%
"Sandalwood Dr, Bogangar",R2,741.7 m²,"$950,000","$975,000",2.6%
"Old Pacific Hwy, Burringbar",RU5,812.1 m²,"$440,000","$470,000",6.8%
"Casuarina Way, Casuarina",R1,464 m²,"$978,000","$978,000",0.0%
"Kamala Cres, Casuarina",R1,5394 m²,"$5,680,000","$6,250,000",10.0%
"Pheeny Lane, Casuarina",R2,532 m²,"$1,300,000","$1,300,000",0.0%
"She-Oak Lane, Casuarina",R2,692.8 m²,"$2,350,000","$2,350,000",0.0%
"Numinbah Rd, Chillingham",RU5,917.7 m²,"$287,000","$310,000",8.0%
"John Robb Way, Cudgen",R2,680.5 m²,"$669,000","$669,000",0.0%
"Fingal Rd, Fingal Head",R2,1012 m²,"$1,010,000","$1,010,000",0.0%
"Tweed Coast Rd, Hastings Point",R3,784.1 m²,"$3,200,000","$3,350,000",4.7%
"Reserve Creek Rd, Kielvale",RU5,914 m²,"$350,000","$360,000",2.9%
"Beach St, Kingscliff",R2,642.2 m²,"$875,000","$875,000",0.0%
"Kingscliff St, Kingscliff",R3,689.2 m²,"$1,150,000","$1,180,000",2.6%
"Marine Pde, Kingscliff",MU1,284.5 m²,"$1,630,000","$1,650,000",1.2%
"Marine Pde, Kingscliff",R3,850.9 m²,"$3,250,000","$3,250,000",0.0%
"Seaside Dr, Kingscliff",R3,251.6 m²,"$1,000,000","$1,000,000",0.0%
"Seaview St, Kingscliff",R3,373.1 m²,"$1,250,000","$1,250,000",0.0%
"Vulcan St, Kingscliff",R2,613.4 m²,"$1,000,000","$1,050,000",5.0%
"Brisbane St, Murwillumbah",MU1,464.5 m²,"$270,000","$290,000",7.4%
"Charles St, Murwillumbah",R2,733.5 m²,"$321,000","$350,000",9.0%
"Harwood St, Murwillumbah",R2,613.4 m²,"$413,000","$435,000",5.3%
"Riverview St, Murwillumbah",R3,828.4 m²,"$338,000","$370,000",9.5%
"Tumbulgum Rd, Murwillumbah",R2,1113 m²,"$486,000","$525,000",8.0%
"Wagawn Dr, Murwillumbah",R2,552 m²,"$377,000","$420,000",11.4%
"Kyndalyn Ct, Nunderi",R5,4575 m²,"$634,000","$700,000",10.4%
"Edward Ave, Pottsville",R2,800 m²,"$675,000","$675,000",0.0%
"Elanora Ave, Pottsville",R2,852.5 m²,"$2,100,000","$2,200,000",4.8%
"Macadamia Dr, Pottsville",R2,700 m²,"$590,000","$590,000",0.0%
"Monash Pl, Pottsville",R2,717.6 m²,"$1,250,000","$1,250,000",0.0%
"Newcastle Dr, Pottsville",R2,759.2 m²,"$640,000","$640,000",0.0%
"Overall Dr, Pottsville",R3,855.4 m²,"$835,000","$835,000",0.0%
"Overall Dr, Pottsville",R2,784.8 m²,"$900,000","$900,000",0.0%
"Tweed Valley Way, South Murwillumbah",R2,607 m²,"$255,000","$275,000",7.8%
"Illawong Cres, Terranora",RU5,660 m²,"$475,000","$440,000",-7.4%
"Hill St, Tweed Heads",R3,600.7 m²,"$2,180,000","$2,350,000",7.8%
"Keith Compton Dr, Tweed Heads",R2,708.2 m²,"$1,050,000","$1,050,000",0.0%
"Leeward Tce, Tweed Heads",R2,975.4 m²,"$490,000","$505,000",3.1%
"Recreation St, Tweed Heads",R3,1031 m²,"$861,000","$935,000",8.6%
"Stanley St, Tweed Heads",R3,714.5 m²,"$675,000","$675,000",0.0%
"Wharf St, Tweed Heads",MU1,878.6 m²,"$846,000","$875,000",3.4%
"Acacia St, Tweed Heads South",R1,607 m²,"$415,000","$430,000",3.6%
"Blundell Bvd, Tweed Heads South",R2,657 m²,"$470,000","$470,000",0.0%
"Champagne Dr, Tweed Heads South",R2,717.2 m²,"$475,000","$500,000",5.3%
"Cox Dr, Tweed Heads South",R3,739.8 m²,"$500,000","$525,000",5.0%
"Minjungbal Dr, Tweed Heads South",MU1,1499.9 m²,"$1,450,000","$1,650,000",13.8%
"Inlet Dr, Tweed Heads West",R2,784.1 m²,"$547,000","$570,000",4.2%
"Myeerimba Pde, Tweed Heads West",R2,607 m²,"$386,000","$400,000",3.6%
"Wyuna Rd, Tweed Heads West",R2,607 m²,"$840,000","$950,000",13.1%
"Smiths Creek Rd, Uki",R5,8.199 ha,"$1,130,000","$1,300,000",15.0%
