Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Mcleod St, Aberdeen",R1,836 m²,"$120,000","$125,000",4.2%
"Salisbury St, Blandford",RU5,4047 m²,"$110,000","$110,000",0.0%
"Archer St, Bunnan",RU5,4046 m²,"$100,000","$115,000",15.0%
"Branksome St, Cassilis",RU5,2125 m²,"$68,200","$68,200",0.0%
"Lighthorse Pde, Glenbawn",R5,1.19 ha,"$310,000","$310,000",0.0%
"Church St, Gundy",RU5,2023 m²,"$150,000","$165,000",10.0%
"Glebe St, Merriwa",R1,2.32 ha,"$290,000","$275,000",-5.2%
"Gummun Lane, Merriwa",R5,1.19 ha,"$210,000","$210,000",0.0%
"Vennacher St, Merriwa",R1,1524 m²,"$90,600","$90,000",-0.7%
"High St, Moonan Flat",RU5,2023 m²,"$143,000","$125,000",-12.6%
"Henry St, Murrurundi",R5,1.012 ha,"$220,000","$200,000",-9.1%
"Mayne St, Murrurundi",MU1,2023 m²,"$109,000","$113,000",3.7%
"Mount St, Murrurundi",R1,1397 m²,"$145,000","$125,000",-13.8%
"Dumaresq St, Parkville",RU5,1973 m²,"$115,000","$115,000",0.0%
"Gould St, Scone",R1,1012 m²,"$210,000","$220,000",4.8%
"Gray St, Scone",R5,2800 m²,"$290,000","$300,000",3.5%
"Kelly St, Scone",R1,1056 m²,"$180,000","$185,000",2.8%
"Redbank Dr, Scone",R1,1050 m²,"$230,000","$220,000",-4.4%
"St Aubins St, Scone",MU1,1056 m²,"$210,000","$227,000",8.1%
"Susan St, Scone",R1,1012 m²,"$230,000","$215,000",-6.5%
"Vernon St, Wingen",RU5,2023 m²,"$125,000","$125,000",0.0%
