Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Crookwell St, Bigga",RU5,2023 m²,"$67,600","$67,600",0.0%
"Arthur St, Binda",RU5,3794 m²,"$66,900","$66,900",0.0%
"Breadalbane Rd, Breadalbane",RU5,1138 m²,"$94,800","$94,800",0.0%
"Church St, Collector",RU5,1998 m²,"$290,000","$290,000",0.0%
"Brooklands St, Crookwell",R2,919.7 m²,"$280,000","$280,000",0.0%
"Cowper St, Crookwell",R2,613.3 m²,"$112,000","$112,000",0.0%
"Croker Pl, Crookwell",R5,2.013 ha,"$554,000","$554,000",0.0%
"Cullen St, Crookwell",R2,3.478 ha,"$810,000","$810,000",0.0%
"Graham Cres, Crookwell",R2,1045 m²,"$265,000","$265,000",0.0%
"Hall Cres, Crookwell",R2,631.4 m²,"$135,000","$135,000",0.0%
"Kialla Rd, Crookwell",R2,1500 m²,"$150,000","$270,000",80.0%
"Reservoir Rd, Crookwell",R5,4.18 ha,"$773,000","$773,000",0.0%
"Roberts St, Crookwell",MU1,1264.6 m²,"$91,500","$91,500",0.0%
"Church St, Dalton",RU5,2023 m²,"$180,000","$180,000",0.0%
"Britannia St, Grabben Gullen",RU5,4321 m²,"$138,000","$138,000",0.0%
"Caledonia St, Grabben Gullen",R2,4046 m²,"$97,500","$97,500",0.0%
"Ambar Lane, Gunning",RU5,1001 m²,"$248,000","$248,000",0.0%
"Collector Rd, Gunning",R5,5.06 ha,"$428,000","$415,000",-3.0%
"Yass St, Gunning",RU5,999.1 m²,"$81,100","$81,100",0.0%
"Jerrawa Rd, Jerrawa",RU5,7284 m²,"$305,000","$305,000",0.0%
"Laggan Rd, Laggan",RU5,4348 m²,"$285,000","$310,000",8.8%
"Cooper St, Taralga",R5,20.02 ha,"$324,000","$340,000",4.9%
"Hillas St, Taralga",RU5,2956 m²,"$194,000","$203,000",4.6%
"Bathurst St, Tuena",RU5,3029 m²,"$32,300","$32,300",0.0%
