Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Thunderbolts Way, Bundarra",R2,2.701 ha,"$72,000","$120,000",66.7%
"Tomline St, Bundarra",RU5,1041 m²,"$26,000","$45,000",73.1%
"Stringybark Ridge Rd, Invergowrie",R5,5.604 ha,"$252,000","$270,000",7.1%
"Yellowbox Dr, Saumarez Ponds",C4,5 ha,"$370,000","$390,000",5.4%
"Bridge St, Uralla",MU1,929.5 m²,"$170,000","$225,000",32.4%
"East St, Uralla",R1,1074 m²,"$130,000","$170,000",30.8%
"Faulkner St, Uralla",R1,8094 m²,"$301,000","$365,000",21.3%
"Quartz Gully Rd, Uralla",R5,2.262 ha,"$255,000","$295,000",15.7%
"Queen St, Uralla",R1,961.1 m²,"$140,000","$170,000",21.4%
"Sandon Cl, Uralla",R2,5000 m²,"$230,000","$280,000",21.7%
