Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Borneo Pl, Ashmont",R3,1082 m²,"$184,000","$202,000",9.8%
"Buna St, Ashmont",R1,588.1 m²,"$86,400","$99,300",14.9%
"Crawford St, Ashmont",R1,665 m²,"$148,000","$162,000",9.5%
"Bradman Dr, Boorooma",C4,1.343 ha,"$582,000","$582,000",0.0%
"Strickland Dr, Boorooma",R1,779 m²,"$259,000","$279,000",7.7%
"Brooklyn Dr, Bourkelands",R1,717.3 m²,"$245,000","$245,000",0.0%
"Urana St, Collingullie",RU5,1568 m²,"$132,000","$151,000",14.4%
"Victor St, Currawarna",RU5,2023 m²,"$108,000","$108,000",0.0%
"Doman St, Estella",R1,800 m²,"$227,000","$227,000",0.0%
"Franklin Dr, Estella",R1,3.604 ha,"$2,000,000","$2,000,000",0.0%
"Japonica Pl, Forest Hill",R1,718.5 m²,"$132,000","$132,000",0.0%
"Kurrajong Ave, Forest Hill",R3,1042 m²,"$158,000","$158,000",0.0%
"Quandong Pl, Forest Hill",R1,737.9 m²,"$197,000","$187,000",-5.1%
"Osborne St, Galore",RU5,2023 m²,"$2,080","$2,080",0.0%
"Balleroo Cres, Glenfield Park",R1,800 m²,"$186,000","$195,000",4.8%
"Girraween Mews, Glenfield Park",R3,344.9 m²,"$145,000","$145,000",0.0%
"Paradise Dr, Gobbagombalin",R1,745.7 m²,"$255,000","$267,000",4.7%
"Sirius Way, Gumly Gumly",R5,4163 m²,"$388,000","$407,000",4.9%
"Mate St, Humula",RU5,2023 m²,"$18,000","$18,000",0.0%
"Alldis Pl, Kooringal",R1,920.4 m²,"$205,000","$225,000",9.8%
"Tichborne Cres, Kooringal",R1,670.3 m²,"$135,000","$151,000",11.9%
"Ziegler Ave, Kooringal",R3,777.8 m²,"$221,000","$254,000",14.9%
"Tywong St, Ladysmith",RU5,1214 m²,"$181,000","$208,000",14.9%
"Avon Ave, Lake Albert",R1,929.9 m²,"$229,000","$229,000",0.0%
"Bass St, Lake Albert",R1,666 m²,"$217,000","$217,000",0.0%
"Kyeamba Ave, Lake Albert",R5,2.056 ha,"$473,000","$473,000",0.0%
"Lakehaven Dr, Lake Albert",R5,1305 m²,"$434,000","$434,000",0.0%
"Chang Ave, Lloyd",R1,740.9 m²,"$252,000","$272,000",7.9%
"Burke St, Mangoplah",RU5,2023 m²,"$64,300","$80,300",24.9%
"Riverview Dr, Moorong",R5,2.065 ha,"$619,000","$619,000",0.0%
"Ceduna St, Mount Austin",R1,588 m²,"$141,000","$169,000",19.9%
"Henry St, North Wagga Wagga",RU5,2156 m²,"$52,600","$52,600",0.0%
"Henry St, North Wagga Wagga",RU5,1012 m²,"$136,000","$136,000",0.0%
"Jarvis St, Oura",RU5,2024 m²,"$100,000","$100,000",0.0%
"Michael Ave, San Isidore",R5,2.025 ha,"$489,000","$537,000",9.8%
"Bursaria Pl, Springvale",R5,9293 m²,"$552,000","$552,000",0.0%
"Myrtle St, Tarcutta",RU5,2555 m²,"$82,100","$82,100",0.0%
"Atherton Cres, Tatton",R1,806.6 m²,"$303,000","$303,000",0.0%
"Tamar Dr, Tatton",R1,3.92 ha,"$1,040,000","$1,040,000",0.0%
"Anne St, Tolland",R1,739.8 m²,"$147,000","$169,000",15.0%
"Brooks Cir, Tolland",R1,580.1 m²,"$95,000","$118,000",24.2%
"Nordlingen Dr, Tolland",R1,837.1 m²,"$190,000","$218,000",14.7%
"O'Connor St, Tolland",R3,531.8 m²,"$117,000","$140,000",19.7%
"Edmondson St, Turvey Park",R1,525 m²,"$283,000","$311,000",9.9%
"King St, Uranquinty",RU5,1543 m²,"$182,000","$203,000",11.5%
"Beckwith St, Wagga Wagga",R3,585.43 m²,"$377,000","$377,000",0.0%
"Edward St, Wagga Wagga",MU1,1969 m²,"$737,000","$810,000",9.9%
"Fox St, Wagga Wagga",R1,582.36 m²,"$370,000","$370,000",0.0%
"Vestey St, Wagga Wagga",R1,624.6 m²,"$259,000","$259,000",0.0%
