Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Indian Lane, Baradine",R5,6.449 ha,"$94,300","$94,300",0.0%
"Lachlan St, Baradine",RU5,2023 m²,"$18,300","$19,400",6.0%
"Wellington St, Baradine",RU5,1012 m²,"$15,200","$15,200",0.0%
"Bullinda St, Binnaway",RU5,1012 m²,"$13,800","$13,800",0.0%
"Cypress St, Binnaway",R5,2.415 ha,"$31,400","$31,400",0.0%
"Renshaw St, Binnaway",RU5,1011.8 m²,"$7,370","$7,370",0.0%
"Gilmore St, Coolah",R1,2599 m²,"$61,100","$61,100",0.0%
"Goddard St, Coolah",R1,1581 m²,"$58,600","$58,600",0.0%
"Wentworth Av, Coolah",R5,2.679 ha,"$138,000","$138,000",0.0%
"Dalgarno St, Coonabarabran",R1,866.3 m²,"$58,600","$58,600",0.0%
"Dows Lane, Coonabarabran",R5,3.478 ha,"$90,000","$90,000",0.0%
"Masman St, Coonabarabran",R1,966.2 m²,"$52,300","$54,900",5.0%
"North St, Coonabarabran",R1,1027 m²,"$26,400","$27,700",4.9%
"Reservoir St, Coonabarabran",R1,12.94 ha,"$243,000","$243,000",0.0%
"Robertson St, Coonabarabran",R1,7385 m²,"$24,800","$24,800",0.0%
"Yarrow St, Dunedoo",R1,1010 m²,"$65,000","$68,200",4.9%
"Bandulla St, Mendooran",RU5,2023 m²,"$24,700","$24,700",0.0%
"Domain Cl, Mendooran",R5,7.34 ha,"$86,200","$86,200",0.0%
"Church St, Uarbry",RU5,1834 m²,"$13,800","$24,800",79.7%
