Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Edward St, Bondi",R3,294.4 m²,"$2,240,000","$2,640,000",17.9%
"Park Pde, Bondi",R3,253.81 m²,"$2,200,000","$2,600,000",18.2%
"Roscoe St, Bondi Beach",R3,535.99 m²,"$4,600,000","$5,400,000",17.4%
"Bronte Rd, Bondi Junction",MU1,203.8 m²,"$1,250,000","$1,350,000",8.0%
"Dalley St, Bondi Junction",R3,529 m²,"$4,000,000","$4,400,000",10.0%
"Kenilworth St, Bondi Junction",R2,242.2 m²,"$1,890,000","$2,300,000",21.7%
"Oxford St, Bondi Junction",MU1,1015 m²,"$8,990,000","$9,750,000",8.5%
"Ruthven St, Bondi Junction",R3,135.9 m²,"$1,500,000","$1,650,000",10.0%
"Waverley Cres, Bondi Junction",R4,1334 m²,"$8,990,000","$10,500,000",16.8%
"Belgrave St, Bronte",R2,240.3 m²,"$2,250,000","$2,650,000",17.8%
"Bronte Rd, Bronte",R2,476.73 m²,"$3,600,000","$4,200,000",16.7%
"Hewlett St, Bronte",R2,559.2 m²,"$4,540,000","$5,190,000",14.3%
"Military Rd, Dover Heights",R2,461.6 m²,"$3,400,000","$4,150,000",22.1%
"Oakley Rd, North Bondi",R3,202.3 m²,"$2,050,000","$2,300,000",12.2%
"Oakley Rd, North Bondi",R3,505.9 m²,"$4,200,000","$4,990,000",18.8%
"Reina St, North Bondi",R2,239.6 m²,"$2,640,000","$3,090,000",17.1%
"Newland St, Queens Park",R2,259.2 m²,"$2,300,000","$2,640,000",14.8%
"Bronte Rd, Waverley",R3,725.5 m²,"$5,500,000","$6,000,000",9.1%
"Wallace St, Waverley",R2,246.6 m²,"$1,900,000","$2,200,000",15.8%
