Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Hendy Rd, Buronga",RU5,7889 m²,"$1,100,000","$1,100,000",0.0%
"Midway Dr, Buronga",RU5,3782 m²,"$380,000","$380,000",0.0%
"Tower Ct, Buronga",RU5,710.2 m²,"$155,000","$155,000",0.0%
"Neilpo St, Dareton",RU5,1012 m²,"$28,500","$28,500",0.0%
"Dawn Ave, Gol Gol",RU5,2.57 ha,"$280,000","$280,000",0.0%
"Livingstone Dr, Gol Gol",RU5,878 m²,"$180,000","$180,000",0.0%
"Wilga Rd, Gol Gol",R5,5385 m²,"$314,000","$340,000",8.3%
"Mallara St, Pooncarie",RU5,2024 m²,"$11,700","$11,700",0.0%
"Adams St, Wentworth",RU5,849 m²,"$40,000","$40,000",0.0%
"Cadell St, Wentworth",RU5,3516 m²,"$375,000","$375,000",0.0%
"Pooncarie Rd, Wentworth",R5,6046 m²,"$340,000","$340,000",0.0%
