Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Burra Rd, Artarmon",C4,622.86 m²,"$2,450,000","$2,600,000",6.1%
"Stafford Rd, Artarmon",R2,670.2 m²,"$2,600,000","$2,730,000",5.0%
"Neerim Rd, Castle Cove",C4,784.1 m²,"$2,330,000","$2,500,000",7.3%
"Warrawee Ave, Castle Cove",R2,733.5 m²,"$1,950,000","$2,080,000",6.7%
"Raeburn Ave, Castlecrag",R2,556.4 m²,"$2,500,000","$2,700,000",8.0%
"Sortie Port, Castlecrag",C4,860 m²,"$2,540,000","$2,800,000",10.2%
"Sugarloaf Cres, Castlecrag",C4,581.7 m²,"$1,950,000","$2,100,000",7.7%
"Archer St, Chatswood",MU1,928.5 m²,"$5,500,000","$5,500,000",0.0%
"Beaconsfield Rd, Chatswood",R2,564.85 m²,"$1,800,000","$1,980,000",10.0%
"Holland St, Chatswood",R2,619.7 m²,"$2,500,000","$2,690,000",7.6%
"Moola Pde, Chatswood",C4,613.4 m²,"$1,780,000","$1,870,000",5.1%
"Victoria Ave, Chatswood",R2,566.78 m²,"$1,800,000","$1,940,000",7.8%
"Hawthorne Ave, Chatswood West",R2,586.13 m²,"$1,580,000","$1,700,000",7.6%
"Reid Dr, Chatswood West",C4,676.6 m²,"$1,450,000","$1,540,000",6.2%
"Covelee Cct, Middle Cove",R2,746.1 m²,"$2,000,000","$2,150,000",7.5%
"Gaza Rd, Naremburn",R2,385.7 m²,"$1,850,000","$1,940,000",4.9%
"Moonbria St, Naremburn",R2,404.71 m²,"$2,180,000","$2,460,000",12.8%
"Northcote St, Naremburn",R4,1206 m²,"$4,960,000","$5,100,000",2.8%
"Penshurst St, North Willoughby",R3,409.73 m²,"$1,550,000","$1,700,000",9.7%
"Sydney St, North Willoughby",R3,1672.3 m²,"$8,000,000","$8,550,000",6.9%
"Bellambi St, Northbridge",R2,585.43 m²,"$2,650,000","$3,050,000",15.1%
"Cliff Ave, Northbridge",C4,650.75 m²,"$2,500,000","$2,650,000",6.0%
"Dorset Rd, Northbridge",C4,1003.5 m²,"$7,300,000","$8,100,000",11.0%
"Neeworra Rd, Northbridge",C4,650.29 m²,"$3,780,000","$4,450,000",17.7%
"Penkivil St, Willoughby",R2,480.56 m²,"$2,700,000","$2,860,000",5.9%
"Salisbury Rd, Willoughby",R2,373.1 m²,"$1,970,000","$2,130,000",8.1%
"Third Ave, Willoughby East",R2,556.72 m²,"$2,300,000","$2,500,000",8.7%
