Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Knowle Rd, Aylmerton",R2,796.7 m²,"$566,000","$540,000",-4.6%
"Balaclava St, Balaclava",R2,704.4 m²,"$485,000","$460,000",-5.2%
"Railway Pde, Balmoral Village",R2,1263 m²,"$430,000","$430,000",0.0%
"Railway Pde, Balmoral Village",R5,4978 m²,"$730,000","$765,000",4.8%
"Oldbury St, Berrima",C4,4045 m²,"$1,160,000","$1,240,000",6.9%
"Wilkinson St, Berrima",R2,1014 m²,"$1,030,000","$1,120,000",8.7%
"Ascot Rd, Bowral",R3,877.8 m²,"$989,000","$989,000",0.0%
"Bren Pl, Bowral",R2,800 m²,"$745,000","$710,000",-4.7%
"Bundaroo St, Bowral",MU1,752.5 m²,"$967,000","$1,060,000",9.6%
"Carisbrooke Row, Bowral",R5,4013 m²,"$1,460,000","$1,380,000",-5.5%
"Gibraltar Rd, Bowral",C4,1.034 ha,"$1,640,000","$1,640,000",0.0%
"Holly St, Bowral",R2,766.4 m²,"$1,070,000","$930,000",-13.1%
"Oxley Dr, Bowral",R5,3724 m²,"$1,190,000","$960,000",-19.3%
"Price St, Bowral",R2,981.2 m²,"$580,000","$545,000",-6.0%
"Bunya Cl, Braemar",R5,4111 m²,"$1,000,000","$900,000",-10.0%
"Kamilaroi Cres, Braemar",R2,548 m²,"$443,000","$475,000",7.2%
"Amy St, Bundanoon",R3,739.8 m²,"$470,000","$470,000",0.0%
"Ferndale Rd, Bundanoon",R5,23.94 ha,"$4,820,000","$4,590,000",-4.8%
"Lorna Cl, Bundanoon",R5,4000 m²,"$860,000","$820,000",-4.7%
"Rosenthal Ave, Bundanoon",R2,1334 m²,"$545,000","$520,000",-4.6%
"Holly Rd, Burradoo",R5,4047 m²,"$2,000,000","$1,800,000",-10.0%
"Hurlingham Ave, Burradoo",R2,2024 m²,"$1,500,000","$1,220,000",-18.7%
"Moss Vale Rd, Burradoo",R5,4725 m²,"$1,280,000","$1,170,000",-8.6%
"Stratford Way, Burradoo",R5,4323 m²,"$1,600,000","$1,440,000",-10.0%
"Dale St, Burrawang",R2,1287 m²,"$1,230,000","$1,230,000",0.0%
"Beech St, Colo Vale",R5,8903 m²,"$945,000","$870,000",-7.9%
"Orchid St, Colo Vale",R2,809.3 m²,"$470,000","$440,000",-6.4%
"Middle Rd, Exeter",R2,2693 m²,"$976,000","$976,000",0.0%
"Middle Rd, Exeter",R2,1.542 ha,"$1,380,000","$1,550,000",12.3%
"Casuarina Cres, Fitzroy Falls",R2,3766 m²,"$800,000","$730,000",-8.8%
"Ella St, Hill Top",R2,1088 m²,"$445,000","$440,000",-1.1%
"Ligar St, Hill Top",R2,944.1 m²,"$440,000","$430,000",-2.3%
"Pearce St, Hill Top",R5,4076 m²,"$563,000","$560,000",-0.5%
"Belmore St, Mittagong",R2,1.412 ha,"$2,570,000","$2,570,000",0.0%
"Bowral Rd, Mittagong",MU1,2230 m²,"$1,800,000","$1,800,000",0.0%
"Brewster St, Mittagong",R3,1002 m²,"$520,000","$500,000",-3.9%
"Marchmont Dr, Mittagong",R5,4000 m²,"$1,370,000","$1,370,000",0.0%
"Pioneer St, Mittagong",R2,678 m²,"$613,000","$565,000",-7.8%
"Spencer St, Mittagong",R2,900.4 m²,"$750,000","$750,000",0.0%
"Spring St, Mittagong",R2,1163 m²,"$525,000","$495,000",-5.7%
"Sunset Point Dr, Mittagong",R5,5700 m²,"$910,000","$900,000",-1.1%
"Argyle St, Moss Vale",MU1,536.4 m²,"$459,000","$530,000",15.5%
"Arthur St, Moss Vale",R2,3059 m²,"$1,170,000","$1,120,000",-4.3%
"Lansdown Pl, Moss Vale",R2,1414 m²,"$565,000","$565,000",0.0%
"Mann Cres, Moss Vale",R3,892 m²,"$470,000","$490,000",4.3%
"Roche Cl, Moss Vale",R2,702 m²,"$499,000","$475,000",-4.8%
"Watkins Dr, Moss Vale",R5,4008 m²,"$969,000","$969,000",0.0%
"Sydney St, New Berrima",R2,663.9 m²,"$435,000","$350,000",-19.5%
"Penrose Rd, Penrose",R2,1011 m²,"$316,000","$320,000",1.3%
"De Lauret St, Renwick",R3,355 m²,"$560,000","$510,000",-8.9%
"Stewart St, Renwick",R2,640.3 m²,"$650,000","$600,000",-7.7%
"Blackwood Pl, Robertson",R5,1000 m²,"$590,000","$500,000",-15.3%
"May St, Robertson",R2,1127 m²,"$580,000","$465,000",-19.8%
"Illawarra Hwy, Sutton Forest",R5,2163 m²,"$640,000","$640,000",0.0%
"Bowral St, Welby",R2,1010 m²,"$455,000","$440,000",-3.3%
"Gascoigne St, Willow Vale",R2,1300 m²,"$760,000","$599,000",-21.2%
"Bumballa Rd, Wingello",R5,4473 m²,"$519,000","$519,000",0.0%
"Mundego St, Wingello",R2,2141 m²,"$390,000","$370,000",-5.1%
"Cascade Ave, Yerrinbool",R5,4546 m²,"$560,000","$600,000",7.1%
"Sunrise Rd, Yerrinbool",R2,1164 m²,"$430,000","$450,000",4.7%
