Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Richards Rd, Appin",R2,700 m²,"$555,000","$570,000",2.7%
"Sykes Ave, Appin",R3,412.1 m²,"$420,000","$450,000",7.1%
"Hambridge Rd, Bargo",R2,1079 m²,"$535,000","$535,000",0.0%
"Hogans Dr, Bargo",R5,4003 m²,"$725,000","$785,000",8.3%
"Radnor Rd, Bargo",R3,1005 m²,"$565,000","$580,000",2.7%
"Burragorang Rd, Belimbla Park",R5,4047 m²,"$795,000","$755,000",-5.0%
"Peak Rd, Buxton",R5,4160 m²,"$715,000","$715,000",0.0%
"Wellington St, Buxton",R2,695.6 m²,"$371,000","$345,000",-7.0%
"Jackey Dr, Camden Park",R5,4347 m²,"$1,410,000","$1,410,000",0.0%
"Tullet St, Camden Park",R2,761.9 m²,"$750,000","$710,000",-5.3%
"Camden Rd, Douglas Park",R2,1985 m²,"$665,000","$710,000",6.8%
"Durham St, Douglas Park",R5,4047 m²,"$739,000","$750,000",1.5%
"Railway Pde, Douglas Park",R3,2055 m²,"$545,000","$585,000",7.3%
"Menangle Rd, Menangle",R2,657.9 m²,"$565,000","$630,000",11.5%
"Peppercorn Ave, Mount Hunter",R2,981 m²,"$535,000","$530,000",-0.9%
"Burragorang Rd, Nattai",R2,954.8 m²,"$375,000","$300,000",-20.0%
"Burragorang Rd, Oakdale",RU5,1745 m²,"$670,000","$700,000",4.5%
"Moore Rd, Oakdale",R2,985.2 m²,"$560,000","$520,000",-7.1%
"Pheasants Nest Rd, Pheasants Nest",C4,2.447 ha,"$1,170,000","$1,080,000",-7.7%
"Coachwood Cres, Picton",R2,975 m²,"$555,000","$560,000",0.9%
"Menangle St, Picton",R3,1012 m²,"$605,000","$610,000",0.8%
"Old Racecourse Cl, Picton",R5,4000 m²,"$1,130,000","$1,140,000",0.9%
"Stonequarry Creek Rd, Picton",R5,4000 m²,"$910,000","$910,000",0.0%
"Stonebrook Meadows Rd, Razorback",C4,2.875 ha,"$1,740,000","$1,700,000",-2.3%
"Dales Rd, Silverdale",R5,4159 m²,"$990,000","$1,000,000",1.0%
"Delaney Ave, Silverdale",R2,1006 m²,"$570,000","$610,000",7.0%
"Burton Dr, Tahmoor",R2,451.6 m²,"$425,000","$435,000",2.4%
"Mahonga St, Tahmoor",R3,1012 m²,"$530,000","$535,000",0.9%
"Milne St, Tahmoor",R2,982 m²,"$510,000","$515,000",1.0%
"Tahmoor Rd, Tahmoor",R2,1.68 ha,"$4,100,000","$4,270,000",4.2%
"Blackbutt Pl, The Oaks",R2,988 m²,"$600,000","$590,000",-1.7%
"Burragorang St, The Oaks",R3,1002 m²,"$650,000","$645,000",-0.8%
"Mckee Rd, Theresa Park",C4,3.104 ha,"$1,500,000","$1,400,000",-6.7%
"North St, Thirlmere",R3,771.4 m²,"$535,000","$540,000",0.9%
"Windeyer St, Thirlmere",R2,720 m²,"$495,000","$499,000",0.8%
"Third St, Warragamba",R2,467.9 m²,"$430,000","$440,000",2.3%
"Almond St, Wilton",R2,976.2 m²,"$558,000","$550,000",-1.4%
"Balmoral Rise, Wilton",R2,870.1 m²,"$640,000","$660,000",3.1%
"Maloney Ch, Wilton",MU1,458.9 m²,"$465,000","$475,000",2.2%
"Cobham St, Yanderra",R2,1011.83 m²,"$500,000","$510,000",2.0%
