Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Beresford Rd, Bellevue Hill",R2,695.6 m²,"$5,740,000","$6,890,000",20.0%
"Cooper Park Rd, Bellevue Hill",R3,461.6 m²,"$3,400,000","$4,390,000",29.1%
"Drumalbyn Rd, Bellevue Hill",R2,638.6 m²,"$5,400,000","$6,390,000",18.3%
"Greenoaks Ave, Darling Point",R3,467.9 m²,"$4,150,000","$5,390,000",29.9%
"Gladswood Gdns, Double Bay",R3,825 m²,"$23,100,000","$26,000,000",12.6%
"Cameron St, Edgecliff",R2,274.6 m²,"$2,590,000","$3,100,000",19.7%
"Boundary St, Paddington",R2,120.1 m²,"$1,700,000","$1,850,000",8.8%
"Oxford St, Paddington",MU1,145.4 m²,"$999,000","$1,100,000",10.1%
"Oxford St, Paddington",MU1,779 m²,"$4,580,000","$5,050,000",10.3%
"Sutherland St, Paddington",R2,189.7 m²,"$2,700,000","$2,950,000",9.3%
"Wunulla Rd, Point Piper",R3,701.9 m²,"$9,000,000","$11,500,000",27.8%
"Wunulla Rd, Point Piper",R2,638.6 m²,"$11,400,000","$14,000,000",22.8%
"Faraday Ave, Rose Bay",R2,550.1 m²,"$4,510,000","$5,500,000",22.0%
"Salisbury Rd, Rose Bay",R3,695.6 m²,"$5,590,000","$7,190,000",28.6%
"Hopetoun Ave, Vaucluse",R2,638.56 m²,"$5,110,000","$6,240,000",22.1%
"Wharf Rd, Vaucluse",R2,934.1 m²,"$23,400,000","$27,400,000",17.1%
"Cove St, Watsons Bay",R2,240.3 m²,"$3,940,000","$4,490,000",14.0%
"Marine Pde, Watsons Bay",Z,414.8 m²,"$439,000","$500,000",13.9%
"Edgecliff Rd, Woollahra",R3,1012 m²,"$6,600,000","$7,600,000",15.2%
"Moncur St, Woollahra",R2,145.5 m²,"$2,290,000","$2,690,000",17.5%
"Ocean St, Woollahra",R3,189.7 m²,"$2,140,000","$2,450,000",14.5%
