Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Burley Griffin Way, Binalong",C4,2.721 ha,"$258,000","$258,000",0.0%
"Camden St, Binalong",RU5,1644 m²,"$171,000","$171,000",0.0%
"Rogerson Lane, Binalong",R5,9.611 ha,"$433,000","$433,000",0.0%
"Drummond St, Bookham",RU5,4047 m²,"$81,300","$81,300",0.0%
"Bowning Rd, Bowning",RU5,3496 m²,"$265,000","$265,000",0.0%
"Good Hope Rd, Good Hope",C4,15.55 ha,"$643,000","$707,000",10.0%
"Lute St, Gundaroo",R2,2500 m²,"$590,000","$486,000",-17.6%
"Rosamel St, Gundaroo",RU5,2149 m²,"$644,000","$515,000",-20.0%
"Belleview Dr, Murrumbateman",C4,14.23 ha,"$770,000","$770,000",0.0%
"Isabel Dr, Murrumbateman",R2,9122 m²,"$650,000","$650,000",0.0%
"Malbec Dr, Murrumbateman",R5,1.1 ha,"$750,000","$750,000",0.0%
"West St, Murrumbateman",RU5,1228 m²,"$496,000","$496,000",0.0%
"Bywong St, Sutton",RU5,2023 m²,"$639,000","$639,000",0.0%
"Harcourt Cl, Sutton",R5,1.603 ha,"$1,250,000","$1,250,000",0.0%
"Sutton Rd, Sutton",R2,30.12 ha,"$1,790,000","$10,000,000",458.7%
"Dutton Pl, Wee Jasper",RU5,5959 m²,"$182,000","$182,000",0.0%
"Archer Cl, Yass",R5,3.671 ha,"$632,000","$632,000",0.0%
"Ford St, Yass",R1,1046 m²,"$265,000","$265,000",0.0%
"Guginya Pl, Yass",R2,2647 m²,"$370,000","$370,000",0.0%
"Meehan St, Yass",R3,1480 m²,"$338,000","$338,000",0.0%
"Mitchell St, Yass",R1,861 m²,"$334,000","$334,000",0.0%
"Mitchell St, Yass",R1,6833 m²,"$537,000","$537,000",0.0%
"Shaw St, Yass",R1,1046 m²,"$316,000","$316,000",0.0%
"Yeo Cres, Yass",R1,854.5 m²,"$400,000","$340,000",-15.0%
